"Primitive men carried a firebrand during his journeys mainly for","illumination","cooking","flame preservation","warmth",C,"The passage states that the firebrand's primary purpose was preserving a flame; illumination was incidental.","English Language",2005
"Primitive man was least concerned with fire as a","means of cooking","source of warmth","source of light","more traveling",C,"The passage begins by stating primitive man was probably more concerned with fire as warmth and cooking than as a source of light.","English Language",2005
"According to the passage, the torch probably developed from","firebrand","twig","vessel","molten fat",A,"The passage says the firebrand, from which the torch may well have developed, could be used for illumination.","English Language",2005
"One way early man made a lamp was by putting a lighted reed in a","hollowed stone","seal-shell","vessel","molten fat",C,"The passage explains that early man fashioned a vessel to contain fat and float a lighted reed in it to make a lamp.","English Language",2005
"Primitive man preserved fibre because","he may use it for illumination during his travel","his methods of making fire was labourious","he wanted to discover how to make a lamp","he wanted to develop torch.",B,"The passage states that before he discovered less labourious ways of making fire, he had to preserve it.","English Language",2005
"The writer of the passage believes that delinquency laws are","not relevant to human society","only fit for young people","unfair to the juveniles only","very fair to the adult world",D,"The writer describes delinquency as a weapon forged in adult minds and directed by adult hands against young people, suggesting fairness to adults.","English Language",2005
"Status offences are those that can be committed by","all adults","juveniles only","delinquent juveniles","specified classes of people",D,"The passage defines status offences as those that can be committed only by people in particular stations of life as determined by age, profession or role.","English Language",2005
"In the view of the writer, drinking underage is an offence because","adults want to have all the drinks to themselves","adults do not want juveniles to get drinks","drunken juveniles can disorders in the society","adults have a duty to protect young society",A,"The passage implies such offences preserve good things for the exclusive enjoyment of the adult world.","English Language",2005
"If the world change overnight","there would be more delinquency laws","delinquency would refer to all adult actions","delinquency would no more be a crime","the world will be turned upside down",B,"The passage states that if the world changed, delinquency would then refer only to many of the adult actions now freely committed by them.","English Language",2005
"When young people make and enforce laws","the responsibility will be too heavy on their shoulders","they would retaliate against the adults.","they would be fair to adults","nothing would change",B,"The passage says adults should expect a raw deal in return if juveniles made and enforced laws, implying retaliation.","English Language",2005
"Once I have finished all my homework, I am permitted to watch television","I can only watch television after doing my homework","I can watch television at any time","I can only finish my homework after permission to watch television","after watching television, I finished my homework",A,"The sentence implies that finishing homework is a condition for permission to watch television.","English Language",2005
"In their desire to impress their friends and relatives, many young workers bite off more than they can chew, in terms of financial obligations","have more money than sense","spend too much money on food","care too much for their relatives","take on more responsibility than they can afford",D,"The idiom 'bite off more than one can chew' means to take on a task or responsibility that is too large or difficult.","English Language",2005
