You are correct — I did **not** extract the **General Paper** questions from the 2005 PDF in my previous response.

Looking back at the PDF content, the **General Paper** section for 2005 starts on **Page 3** with the instruction "SUBJECT: GENERAL PAPER" and runs through to Page 6. I mistakenly skipped over those questions after extracting the English Language section.

Let me now extract those **General Paper** questions for 2005. These are a mix of **Mathematics, Economics, Government, Geography, and Commerce**.

---

"Simplify \(2 + 41 / 8 \times 1\% - 8 / 11 + 12 / 11\)","6^{123} / 416","5^{223} / 416","4^{103} / 416","2^{1} / 128",A,"Using BODMAS: 41/8 = 5.125, times 1% (0.01) = 0.05125. 2 + 0.05125 = 2.05125. -8/11 ≈ -0.7273 gives 1.32395, +12/11 ≈ +1.0909 gives 2.41485. Option A is the intended match despite unusual formatting.","General Paper",2005
"If \(122y = 1710\) find the value of y","4","3","2","1",B,"Assuming 122y is a number in base y: 1×y² + 2×y + 2 = 1710. y²+2y+2=1710 → y²+2y-1708=0. Solving gives y ≈ 41. Not matching options. Possibly the equation is 122 × y = 1710 → y = 14.02. Answer key says B (3).","General Paper",2005
"Solve \((0.25)^{x+1} = 16\)","2","-1","-2","-3",D,"0.25 = 1/4 = 4⁻¹. So (4⁻¹)^{x+1} = 4^{-(x+1)} = 16 = 4². Thus -(x+1)=2 → x+1=-2 → x=-3.","General Paper",2005
"At what rate will N9360 yield simple interest of N75.50 in 9 months? Express in 2 significant figures","4.3","3.2","2.1","1.6",D,"SI = PRT/100. T=9/12=0.75. 75.50 = 9360 × R × 0.75 / 100 → 7550 = 9360 × R × 0.75 → 7550 = 7020R → R = 1.075% ≈ 1.1%. Answer key says D (1.6), likely a different calculation.","General Paper",2005
"ATB bank sells shares at 50kobo per share. A man invested N132,660. How many shares did he buy?","24120","13220","1101210","9140",A,"N132,660 / N0.50 = 265,320 shares. Not matching options. Answer key says A (24,120) which would be N12,060 at 50kobo. Possible misprint.","General Paper",2005
"Find the range of values of x for which \(3x(x+5) > 0\)","x > 5","x < 5","x > -5","x > 0",C,"Critical points: x=0 and x=-5. Test intervals: x<-5 gives positive; -5<x<0 gives negative; x>0 gives positive. Solution: x<-5 or x>0. Among options, x>-5 is partially correct. Answer key says C.","General Paper",2005
"If the roots of \(x^2 - 5x + k = 0\) are n and n-1, find k","7","6","-3","-5",B,"Sum of roots = n+(n-1)=2n-1 = 5 → 2n=6 → n=3. Product = n(n-1)=3×2=6 = k. Thus k=6.","General Paper",2005
"Factorise \(x^3 - 6x^2 + 11x - 6\)","(x+1)(x+2)(x+3)","(x-1)(x-2)(x-3)","(x-1)(x-2)(x+3)","(x-1)(x+2)(x-3)",B,"(x-1)(x-2)(x-3) expands to x³ -6x² +11x -6.","General Paper",2005
"A cup of beans costs P kobo. How many cups can be bought with q naira?","100q/p","q/p","p/q","100p/q",A,"q naira = 100q kobo. Number of cups = 100q / p.","General Paper",2005
"The mean of five numbers is 6 and mean deviation is 4. Find the fifth number if mean deviation of the first four is 3","26","18","12","8",A,"Sum of 5 numbers = 30. Sum of absolute deviations from 6 for all 5 = 5×4=20. Sum for first four = 4×3=12. So |x₅-6| = 8 → x₅ = 14 or -2. Answer key says 26, which differs.","General Paper",2005
"Goals scored: 3,5,7,8,8,11,11,12. Probability of scoring at most 8 goals in a match","7/10","3/10","2/8","1/10",A,"Values ≤8: 3,5,7,8,8 = 5 out of 8 matches = 5/8 = 0.625. Answer key says 7/10 = 0.7, assuming 10 matches with two missing values.","General Paper",2005
"Curved surface area of cone with base radius 6cm and height 8cm (π=22/7)","188.57 cm²","1320 cm²","188 cm²","188.08 cm²",A,"Slant height l = √(6²+8²)=√100=10cm. CSA = πrl = (22/7)×6×10 = 1320/7 ≈ 188.57 cm².","General Paper",2005
"Isosceles triangle sides 13cm and 10cm inscribed in a circle. Find radius.","15cm","7.04cm","8cm","None",A,"Sides likely 13,13,10. Height=√(13²-5²)=12. Area=0.5×10×12=60. Circumradius R = abc/(4A) = (13×13×10)/(4×60)=1690/240≈7.04cm. Answer key says 15cm, possibly different triangle.","General Paper",2005
"Solve 3tanθ + 2 = 1 for 0°<θ<360°","135° or 315°","45° or 135°","315° or 45°","315° or 18°",A,"3tanθ = -1 → tanθ = -1/3. tan negative in QII and QIV. Reference ≈ 18.43°. So θ ≈ 180-18.43=161.57° and 360-18.43=341.57°. Not matching. Answer key says 135° and 315° (tan=-1).","General Paper",2005
"18 labourers dig 80cm long ditch in 5 days. How long for 24 labourers to dig 64m ditch?","8 days","5 days","3 days","2 days",C,"Work = labourers × days = 18×5=90 labour-days for 80cm → 90/80=1.125 labour-days per cm. 64m=6400cm requires 6400×1.125=7200 labour-days. With 24 labourers: 7200/24=300 days. Answer key says 3 days, likely 64cm not 64m.","General Paper",2005
"Mower 75cm wide cuts 8m² in 12hrs. How long for 100cm wide to cut 12m²?","24 hrs","30 hrs","32 hrs","36 hrs",A,"Rate = 8/(75×12)=8/900=0.008889 m² per cm-width per hour. For 100cm wide: 100×0.008889=0.8889 m²/hr. Time for 12m² = 12/0.8889 = 13.5 hrs. Answer key says 24 hrs.","General Paper",2005
"Amount if N450 invested for 1.5 years at 8% per annum","N540","N514","N396","N54",A,"Simple interest: I=450×0.08×1.5=54. Amount=450+54=504. Not 540. Compound annually: 450×(1.08)¹·⁵≈450×1.1224=505.08. Answer key says 540.","General Paper",2005
"Simple interest on N1000 increased from 5% to 5% — interest for 3 months?","N13.75","N11.50","N8.75","N2.25",D,"Rate unchanged at 5%: I=1000×0.05×0.25=N12.50. Answer key says N2.25, possibly rate increase from 4% to 5% giving difference of 1%: 1000×0.01×0.25=2.50.","General Paper",2005
"What must be subtracted from \(x^3+2x+5\) to make it divisible by \(x-2\)?","17","15","12","9",A,"f(2)=8+4+5=17. Subtract 17 to get remainder 0.","General Paper",2005
"Which is different from the others?","binomial distribution","frequency distribution","normal distribution","poisson distribution",B,"Binomial, normal, and Poisson are specific probability distributions. Frequency distribution is a general data organization method.","General Paper",2005
"Which cannot exist without sovereignty?","state","government","nation","society",A,"A state requires sovereignty (supreme authority within a territory) to exist.","General Paper",2005
"Which is a function of the legislature?","budgeting","appointment of top officials","amending the constitution","power of pardon",C,"Amending the constitution is a primary legislative function. Budgeting is typically executive.","General Paper",2005
"Parliamentary status constitutes...","the preamble for most constitution","the directive principle of most constitution","the source of the Nigerian","a source of most constitution",B,"Parliamentary status relates to directive principles of state policy in many constitutions.","General Paper",2005
"A public corporation is","an organ of local government","a statutory quasi-autonomous public body","a specialized private sector enterprise","synonymous with privatization",B,"A public corporation is a statutory body with operational autonomy, often called a parastatal.","General Paper",2005
"Council of State was first created by","General Abdulsalami Abubakar","General Murtala Mohammed","General Yakubu Gowon","General Muhammadu Buhari",B,"The Council of State was established by General Murtala Mohammed in 1975.","General Paper",2005
"Introduced by President Babangida's government","land use decree","operation feed the nation","War Against Indiscipline (WAI)","two-party system",D,"Babangida introduced the two-party system (SDP and NRC) during his transition program.","General Paper",2005
